vehicle_id,speed,lon,route_id,timestamp,lat,trip_id
2214,0,-97.75513,300,2015-03-18T05:00:23+00:00,30.21883,1387314
2058,0,-97.71067,483,2015-03-18T05:00:34+00:00,30.257412,1391483
8850,6.829999923706055,-97.711205,275,2015-03-18T05:01:24+00:00,30.349785,1386407
2225,0,-97.66871,275,2015-03-18T05:01:46+00:00,30.41826,1386333
2225,8.5,-97.665924,275,2015-03-18T05:03:46+00:00,30.421587,1386333
2214,0,-97.76086,300,2015-03-18T05:04:22+00:00,30.221937,1387314
2058,0,-97.72837,483,2015-03-18T05:04:33+00:00,30.264755,1391483
8850,5.980000019073486,-97.70649,275,2015-03-18T05:04:51+00:00,30.352646,1386407
2214,0,-97.76723,300,2015-03-18T05:05:38+00:00,30.222708,1387314
2225,12.319999694824219,-97.67251,275,2015-03-18T05:05:46+00:00,30.423347,1386333
2214,0,-97.766975,300,2015-03-18T05:06:21+00:00,30.222872,1387314
2058,0,-97.735085,483,2015-03-18T05:06:33+00:00,30.267918,1391483
8850,23.829999923706055,-97.697876,275,2015-03-18T05:06:51+00:00,30.361418,1386407
2225,16.31999969482422,-97.67647,275,2015-03-18T05:07:46+00:00,30.416252,1386333
2214,0,-97.766975,300,2015-03-18T05:08:21+00:00,30.222872,1387314
2058,0,-97.74177,483,2015-03-18T05:08:33+00:00,30.26976,1391483
8850,25.719999313354492,-97.69505,275,2015-03-18T05:08:51+00:00,30.36645,1386407
2214,3.440000057220459,-97.766525,300,2015-03-18T05:09:25+00:00,30.22367,1387314
2225,18.90999984741211,-97.67843,275,2015-03-18T05:09:46+00:00,30.407288,1386333
2225,32.150001525878906,-97.67881,275,2015-03-18T05:10:07+00:00,30.404593,1386333
2214,6.980000019073486,-97.7664,300,2015-03-18T05:10:21+00:00,30.222103,1387314
2058,4.380000114440918,-97.74341,483,2015-03-18T05:10:33+00:00,30.268192,1391483
8850,12.010000228881836,-97.69202,275,2015-03-18T05:10:51+00:00,30.37162,1386407
2225,41.970001220703125,-97.68334,275,2015-03-18T05:11:45+00:00,30.388533,1386333
2214,17.59000015258789,-97.75725,300,2015-03-18T05:12:21+00:00,30.219023,1387314
2058,0,-97.74341,483,2015-03-18T05:12:33+00:00,30.268192,1391483
8850,11.779999732971191,-97.685684,275,2015-03-18T05:13:25+00:00,30.383116,1386407
2225,12.220000267028809,-97.687675,275,2015-03-18T05:13:45+00:00,30.379843,1386333
2214,24.420000076293945,-97.74392,300,2015-03-18T05:14:22+00:00,30.216108,1387314
2058,5.78000020980835,-97.74664,483,2015-03-18T05:14:33+00:00,30.26822,1391483
8850,34.529998779296875,-97.68087,275,2015-03-18T05:14:51+00:00,30.394308,1386407
2225,27.969999313354492,-97.69452,275,2015-03-18T05:15:45+00:00,30.367716,1386333
2214,12.140000343322754,-97.74218,300,2015-03-18T05:16:21+00:00,30.221718,1387314
2058,3.5999999046325684,-97.74718,483,2015-03-18T05:16:33+00:00,30.266542,1391483
8850,23.670000076293945,-97.67856,275,2015-03-18T05:16:51+00:00,30.405556,1386407
8850,12.699999809265137,-97.67824,275,2015-03-18T05:17:19+00:00,30.406958,1386407
2225,9.569999694824219,-97.69686,275,2015-03-18T05:17:45+00:00,30.363562,1386333
2214,22.149999618530273,-97.737366,300,2015-03-18T05:18:21+00:00,30.231562,1387314
2058,16.309999465942383,-97.7487,483,2015-03-18T05:18:33+00:00,30.258787,1391483
8850,7.230000019073486,-97.67539,275,2015-03-18T05:18:50+00:00,30.407948,1386407
2225,23.25,-97.70091,275,2015-03-18T05:19:45+00:00,30.356962,1386333
2214,9.279999732971191,-97.73239,300,2015-03-18T05:20:21+00:00,30.230297,1387314
2058,19.15999984741211,-97.74161,483,2015-03-18T05:20:32+00:00,30.251968,1391483
8850,22.579999923706055,-97.663704,275,2015-03-18T05:20:50+00:00,30.412073,1386407
2225,7.440000057220459,-97.70405,275,2015-03-18T05:21:45+00:00,30.354597,1386333
2214,25.450000762939453,-97.72444,300,2015-03-18T05:22:21+00:00,30.232552,1387314
2058,21.56999969482422,-97.73179,483,2015-03-18T05:22:32+00:00,30.245945,1391483
8850,11.760000228881836,-97.66947,275,2015-03-18T05:23:13+00:00,30.41859,1386407
2225,16.489999771118164,-97.711235,275,2015-03-18T05:23:45+00:00,30.34962,1386333
2214,11.75,-97.72055,300,2015-03-18T05:24:21+00:00,30.237118,1387314
2058,14.069999694824219,-97.727325,483,2015-03-18T05:24:32+00:00,30.240362,1391483
2225,5.159999847412109,-97.71235,275,2015-03-18T05:24:37+00:00,30.350115,1386333
8850,0,-97.66871,275,2015-03-18T05:24:50+00:00,30.418287,1386332
2225,0,-97.71219,275,2015-03-18T05:25:45+00:00,30.350115,1386406
2214,31.100000381469727,-97.713455,300,2015-03-18T05:26:20+00:00,30.250675,1387314
2058,14.9399995803833,-97.72375,483,2015-03-18T05:26:32+00:00,30.233845,1391483
8850,0,-97.66871,275,2015-03-18T05:26:50+00:00,30.41826,1386332
2225,0,-97.71219,275,2015-03-18T05:27:45+00:00,30.350143,1386406
8850,0,-97.66868,275,2015-03-18T05:27:48+00:00,30.418287,1386332
2214,13.1899995803833,-97.71098,300,2015-03-18T05:28:21+00:00,30.256725,1387314
2058,9.109999656677246,-97.721466,483,2015-03-18T05:28:32+00:00,30.229912,1391483
8850,0,-97.66874,275,2015-03-18T05:28:50+00:00,30.41826,1386332
2225,0,-97.71219,275,2015-03-18T05:29:45+00:00,30.350143,1386406
2214,2.809999942779541,-97.709435,300,2015-03-18T05:30:20+00:00,30.256588,1387314
2058,10.65999984741211,-97.72619,483,2015-03-18T05:30:32+00:00,30.226778,1391487
8850,0.07000000029802322,-97.66871,275,2015-03-18T05:30:50+00:00,30.418287,1386332
2225,1.6699999570846558,-97.7113,275,2015-03-18T05:31:47+00:00,30.34984,1386406
2058,10.34000015258789,-97.73087,483,2015-03-18T05:32:32+00:00,30.229692,1391487
8850,0.6800000071525574,-97.66833,275,2015-03-18T05:32:50+00:00,30.41826,1386332
2225,3.309999942779541,-97.711586,275,2015-03-18T05:33:44+00:00,30.3483,1386406
2058,8.029999732971191,-97.73195,483,2015-03-18T05:34:32+00:00,30.23346,1391487
8850,12.930000305175781,-97.67074,275,2015-03-18T05:34:50+00:00,30.424145,1386332
2225,33.900001525878906,-97.69857,275,2015-03-18T05:35:44+00:00,30.36018,1386406
2058,15.979999542236328,-97.72723,483,2015-03-18T05:36:31+00:00,30.239922,1391487
8850,31.030000686645508,-97.677956,275,2015-03-18T05:36:50+00:00,30.410532,1386332
2225,5.730000019073486,-97.69714,275,2015-03-18T05:37:44+00:00,30.362656,1386406
2058,19.440000534057617,-97.73363,483,2015-03-18T05:38:32+00:00,30.247595,1391487
8850,5.21999979019165,-97.67831,275,2015-03-18T05:38:50+00:00,30.40803,1386332
2225,6.929999828338623,-97.69604,275,2015-03-18T05:39:44+00:00,30.364635,1386406
2058,23.700000762939453,-97.74423,483,2015-03-18T05:40:31+00:00,30.254278,1391487
8850,34.779998779296875,-97.67951,275,2015-03-18T05:40:50+00:00,30.398268,1386332
2225,18.40999984741211,-97.69151,275,2015-03-18T05:41:45+00:00,30.372692,1386406
2058,0,-97.74744,483,2015-03-18T05:42:31+00:00,30.263874,1391481
8850,35.54999923706055,-97.68626,275,2015-03-18T05:42:49+00:00,30.38229,1386332
8850,35.54999923706055,-97.68645,275,2015-03-18T05:42:57+00:00,30.381987,1386332
2225,18.420000076293945,-97.68704,275,2015-03-18T05:43:44+00:00,30.380613,1386406
2058,0,-97.74522,483,2015-03-18T05:44:31+00:00,30.26866,1391481
8850,26.34000015258789,-97.69246,275,2015-03-18T05:44:49+00:00,30.371317,1386332
2225,32.380001068115234,-97.68321,275,2015-03-18T05:45:44+00:00,30.388422,1386406
2058,4.21999979019165,-97.742905,483,2015-03-18T05:46:31+00:00,30.268274,1391481
8850,17.770000457763672,-97.69683,275,2015-03-18T05:46:49+00:00,30.363617,1386332
2225,32.22999954223633,-97.67891,275,2015-03-18T05:47:44+00:00,30.40352,1386406
2225,34.599998474121094,-97.67818,275,2015-03-18T05:48:13+00:00,30.407507,1386406
